"workerid","trial_type","trial_num","name","positive","sentence_type","adjective","referent","gender","noun","response","slider_position","antonym"
0,"interpretation_fiveSliders",1,"Lee","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.49,1,"unattractive"
0,"interpretation_fiveSliders",1,"Alicia","attractive","antonym","unattractive","person","female","level of attractiveness",0.49,2,"unattractive"
0,"interpretation_fiveSliders",1,"Julia","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.49,3,"unattractive"
0,"interpretation_fiveSliders",1,"Stephen","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","male","level of attractiveness",0.49,4,"unattractive"
0,"interpretation_fiveSliders",1,"Jennifer","attractive","positive","attractive","person","female","level of attractiveness",0.49,5,"unattractive"
0,"interpretation_fiveSliders",2,"Claire","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.48,1,"unforgiving"
0,"interpretation_fiveSliders",2,"Monica","forgiving","positive","forgiving","person","female","level of forgivingness",0.48,2,"unforgiving"
0,"interpretation_fiveSliders",2,"John","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.48,3,"unforgiving"
0,"interpretation_fiveSliders",2,"Eric","forgiving","antonym","unforgiving","person","male","level of forgivingness",0.48,4,"unforgiving"
0,"interpretation_fiveSliders",2,"Stephanie","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.48,5,"unforgiving"
0,"interpretation_fiveSliders",3,"Michelle","happy","neg_positive","not happy","person","female","level of happiness",0.13,1,"unhappy"
0,"interpretation_fiveSliders",3,"Lucas","happy","neg_antonym","not unhappy","person","male","level of happiness",0.92,2,"unhappy"
0,"interpretation_fiveSliders",3,"Greg","happy","positive","happy","person","male","level of happiness",0.91,3,"unhappy"
0,"interpretation_fiveSliders",3,"Cameron","happy","antonym","unhappy","person","male","level of happiness",0.05,4,"unhappy"
0,"interpretation_fiveSliders",3,"David","happy","neither_pos_nor_ant","neither happy nor unhappy","person","male","level of happiness",0.49,5,"unhappy"
0,"interpretation_fiveSliders",4,"Angela","interesting","neg_positive","not interesting","person","female","level of interestingness",0.47,1,"uninteresting"
0,"interpretation_fiveSliders",4,"Daniel","interesting","positive","interesting","person","male","level of interestingness",0.47,2,"uninteresting"
0,"interpretation_fiveSliders",4,"William","interesting","antonym","uninteresting","person","male","level of interestingness",0.47,3,"uninteresting"
0,"interpretation_fiveSliders",4,"Kathleen","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","female","level of interestingness",0.47,4,"uninteresting"
0,"interpretation_fiveSliders",4,"Kim","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.46,5,"uninteresting"
0,"interpretation_fiveSliders",5,"Veronica","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.48,1,"impolite"
0,"interpretation_fiveSliders",5,"Michael","polite","neg_positive","not polite","person","male","level of politeness",0.48,2,"impolite"
0,"interpretation_fiveSliders",5,"Anthony","polite","positive","polite","person","male","level of politeness",0.48,3,"impolite"
0,"interpretation_fiveSliders",5,"Melinda","polite","antonym","impolite","person","female","level of politeness",0.47,4,"impolite"
0,"interpretation_fiveSliders",5,"Tom","polite","neg_antonym","not impolite","person","male","level of politeness",0.49,5,"impolite"
0,"interpretation_fiveSliders",6,"Gabriel","intelligent","positive","intelligent","person","male","level of intelligence",0.47,1,"unintelligent"
0,"interpretation_fiveSliders",6,"Alexander","intelligent","neg_antonym","not unintelligent","person","male","level of intelligence",0.47,2,"unintelligent"
0,"interpretation_fiveSliders",6,"Sophia","intelligent","antonym","unintelligent","person","female","level of intelligence",0.46,3,"unintelligent"
0,"interpretation_fiveSliders",6,"Laura","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.48,4,"unintelligent"
0,"interpretation_fiveSliders",6,"Maya","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.46,5,"unintelligent"
1,"interpretation_fiveSliders",1,"Claire","happy","antonym","unhappy","person","female","level of happiness",0.21,1,"unhappy"
1,"interpretation_fiveSliders",1,"Monica","happy","neg_antonym","not unhappy","person","female","level of happiness",0.52,2,"unhappy"
1,"interpretation_fiveSliders",1,"Sophia","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.52,3,"unhappy"
1,"interpretation_fiveSliders",1,"Anthony","happy","positive","happy","person","male","level of happiness",0.79,4,"unhappy"
1,"interpretation_fiveSliders",1,"John","happy","neg_positive","not happy","person","male","level of happiness",0.22,5,"unhappy"
1,"interpretation_fiveSliders",2,"Angela","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.52,1,"unintelligent"
1,"interpretation_fiveSliders",2,"Michael","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","male","level of intelligence",0.52,2,"unintelligent"
1,"interpretation_fiveSliders",2,"Eric","intelligent","antonym","unintelligent","person","male","level of intelligence",0.27,3,"unintelligent"
1,"interpretation_fiveSliders",2,"Jennifer","intelligent","positive","intelligent","person","female","level of intelligence",0.78,4,"unintelligent"
1,"interpretation_fiveSliders",2,"Veronica","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.27,5,"unintelligent"
1,"interpretation_fiveSliders",3,"Tom","interesting","antonym","uninteresting","person","male","level of interestingness",0.27,1,"uninteresting"
1,"interpretation_fiveSliders",3,"Gabriel","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.55,2,"uninteresting"
1,"interpretation_fiveSliders",3,"Kim","interesting","neg_positive","not interesting","person","female","level of interestingness",0.27,3,"uninteresting"
1,"interpretation_fiveSliders",3,"Lee","interesting","positive","interesting","person","male","level of interestingness",0.77,4,"uninteresting"
1,"interpretation_fiveSliders",3,"Alicia","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.56,5,"uninteresting"
1,"interpretation_fiveSliders",4,"Michelle","attractive","neg_positive","not attractive","person","female","level of attractiveness",0.26,1,"unattractive"
1,"interpretation_fiveSliders",4,"Stephanie","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","female","level of attractiveness",0.53,2,"unattractive"
1,"interpretation_fiveSliders",4,"Kathleen","attractive","positive","attractive","person","female","level of attractiveness",0.82,3,"unattractive"
1,"interpretation_fiveSliders",4,"Alexander","attractive","neg_antonym","not unattractive","person","male","level of attractiveness",0.53,4,"unattractive"
1,"interpretation_fiveSliders",4,"Daniel","attractive","antonym","unattractive","person","male","level of attractiveness",0.26,5,"unattractive"
1,"interpretation_fiveSliders",5,"Greg","forgiving","neg_antonym","not unforgiving","person","male","level of forgivingness",0.52,1,"unforgiving"
1,"interpretation_fiveSliders",5,"Cameron","forgiving","positive","forgiving","person","male","level of forgivingness",0.77,2,"unforgiving"
1,"interpretation_fiveSliders",5,"William","forgiving","antonym","unforgiving","person","male","level of forgivingness",0.25,3,"unforgiving"
1,"interpretation_fiveSliders",5,"Melinda","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.25,4,"unforgiving"
1,"interpretation_fiveSliders",5,"Stephen","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.52,5,"unforgiving"
1,"interpretation_fiveSliders",6,"Lucas","polite","neither_pos_nor_ant","neither polite nor impolite","person","male","level of politeness",0.53,1,"impolite"
1,"interpretation_fiveSliders",6,"Julia","polite","antonym","impolite","person","female","level of politeness",0.24,2,"impolite"
1,"interpretation_fiveSliders",6,"Laura","polite","neg_positive","not polite","person","female","level of politeness",0.24,3,"impolite"
1,"interpretation_fiveSliders",6,"Maya","polite","neg_antonym","not impolite","person","female","level of politeness",0.54,4,"impolite"
1,"interpretation_fiveSliders",6,"David","polite","positive","polite","person","male","level of politeness",0.78,5,"impolite"
2,"interpretation_fiveSliders",1,"Julia","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.27,1,"unintelligent"
2,"interpretation_fiveSliders",1,"Greg","intelligent","antonym","unintelligent","person","male","level of intelligence",0.42,2,"unintelligent"
2,"interpretation_fiveSliders",1,"Tom","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","male","level of intelligence",0.29,3,"unintelligent"
2,"interpretation_fiveSliders",1,"Veronica","intelligent","positive","intelligent","person","female","level of intelligence",0.08,4,"unintelligent"
2,"interpretation_fiveSliders",1,"William","intelligent","neg_positive","not intelligent","person","male","level of intelligence",0.18,5,"unintelligent"
2,"interpretation_fiveSliders",2,"Gabriel","happy","neg_antonym","not unhappy","person","male","level of happiness",0.82,1,"unhappy"
2,"interpretation_fiveSliders",2,"Daniel","happy","neg_positive","not happy","person","male","level of happiness",0.09,2,"unhappy"
2,"interpretation_fiveSliders",2,"Eric","happy","positive","happy","person","male","level of happiness",1,3,"unhappy"
2,"interpretation_fiveSliders",2,"Laura","happy","antonym","unhappy","person","female","level of happiness",0,4,"unhappy"
2,"interpretation_fiveSliders",2,"Melinda","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.48,5,"unhappy"
2,"interpretation_fiveSliders",3,"Claire","polite","neg_antonym","not impolite","person","female","level of politeness",0,1,"impolite"
2,"interpretation_fiveSliders",3,"Cameron","polite","positive","polite","person","male","level of politeness",1,2,"impolite"
2,"interpretation_fiveSliders",3,"Alexander","polite","antonym","impolite","person","male","level of politeness",0,3,"impolite"
2,"interpretation_fiveSliders",3,"Angela","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.47,4,"impolite"
2,"interpretation_fiveSliders",3,"Michelle","polite","neg_positive","not polite","person","female","level of politeness",0,5,"impolite"
2,"interpretation_fiveSliders",4,"Stephanie","attractive","positive","attractive","person","female","level of attractiveness",0.92,1,"unattractive"
2,"interpretation_fiveSliders",4,"Maya","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","female","level of attractiveness",0.48,2,"unattractive"
2,"interpretation_fiveSliders",4,"Kathleen","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.78,3,"unattractive"
2,"interpretation_fiveSliders",4,"Monica","attractive","antonym","unattractive","person","female","level of attractiveness",0.14,4,"unattractive"
2,"interpretation_fiveSliders",4,"Anthony","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.02,5,"unattractive"
2,"interpretation_fiveSliders",5,"Stephen","forgiving","neg_antonym","not unforgiving","person","male","level of forgivingness",0.72,1,"unforgiving"
2,"interpretation_fiveSliders",5,"Sophia","forgiving","positive","forgiving","person","female","level of forgivingness",0.89,2,"unforgiving"
2,"interpretation_fiveSliders",5,"David","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.46,3,"unforgiving"
2,"interpretation_fiveSliders",5,"Kim","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.21,4,"unforgiving"
2,"interpretation_fiveSliders",5,"Alicia","forgiving","antonym","unforgiving","person","female","level of forgivingness",0,5,"unforgiving"
2,"interpretation_fiveSliders",6,"John","interesting","positive","interesting","person","male","level of interestingness",0.95,1,"uninteresting"
2,"interpretation_fiveSliders",6,"Lee","interesting","neg_positive","not interesting","person","male","level of interestingness",0,2,"uninteresting"
2,"interpretation_fiveSliders",6,"Lucas","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.47,3,"uninteresting"
2,"interpretation_fiveSliders",6,"Michael","interesting","antonym","uninteresting","person","male","level of interestingness",0.11,4,"uninteresting"
2,"interpretation_fiveSliders",6,"Jennifer","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.84,5,"uninteresting"
3,"interpretation_fiveSliders",1,"Alexander","happy","neg_positive","not happy","person","male","level of happiness",0,1,"unhappy"
3,"interpretation_fiveSliders",1,"Cameron","happy","neither_pos_nor_ant","neither happy nor unhappy","person","male","level of happiness",0.51,2,"unhappy"
3,"interpretation_fiveSliders",1,"William","happy","positive","happy","person","male","level of happiness",0.98,3,"unhappy"
3,"interpretation_fiveSliders",1,"Stephen","happy","neg_antonym","not unhappy","person","male","level of happiness",0.61,4,"unhappy"
3,"interpretation_fiveSliders",1,"Lucas","happy","antonym","unhappy","person","male","level of happiness",0,5,"unhappy"
3,"interpretation_fiveSliders",2,"Anthony","polite","neg_antonym","not impolite","person","male","level of politeness",0.62,1,"impolite"
3,"interpretation_fiveSliders",2,"Alicia","polite","neg_positive","not polite","person","female","level of politeness",0.28,2,"impolite"
3,"interpretation_fiveSliders",2,"Melinda","polite","positive","polite","person","female","level of politeness",1,3,"impolite"
3,"interpretation_fiveSliders",2,"Julia","polite","antonym","impolite","person","female","level of politeness",0,4,"impolite"
3,"interpretation_fiveSliders",2,"Angela","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.53,5,"impolite"
3,"interpretation_fiveSliders",3,"Jennifer","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.58,1,"uninteresting"
3,"interpretation_fiveSliders",3,"Michelle","interesting","positive","interesting","person","female","level of interestingness",1,2,"uninteresting"
3,"interpretation_fiveSliders",3,"Lee","interesting","neg_positive","not interesting","person","male","level of interestingness",0,3,"uninteresting"
3,"interpretation_fiveSliders",3,"Maya","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","female","level of interestingness",0.48,4,"uninteresting"
3,"interpretation_fiveSliders",3,"David","interesting","antonym","uninteresting","person","male","level of interestingness",0,5,"uninteresting"
3,"interpretation_fiveSliders",4,"Claire","intelligent","antonym","unintelligent","person","female","level of intelligence",0,1,"unintelligent"
3,"interpretation_fiveSliders",4,"Stephanie","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.51,2,"unintelligent"
3,"interpretation_fiveSliders",4,"John","intelligent","neg_antonym","not unintelligent","person","male","level of intelligence",0.72,3,"unintelligent"
3,"interpretation_fiveSliders",4,"Sophia","intelligent","positive","intelligent","person","female","level of intelligence",1,4,"unintelligent"
3,"interpretation_fiveSliders",4,"Tom","intelligent","neg_positive","not intelligent","person","male","level of intelligence",0.11,5,"unintelligent"
3,"interpretation_fiveSliders",5,"Laura","attractive","positive","attractive","person","female","level of attractiveness",0.95,1,"unattractive"
3,"interpretation_fiveSliders",5,"Kim","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","female","level of attractiveness",0.51,2,"unattractive"
3,"interpretation_fiveSliders",5,"Kathleen","attractive","antonym","unattractive","person","female","level of attractiveness",0.11,3,"unattractive"
3,"interpretation_fiveSliders",5,"Greg","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.12,4,"unattractive"
3,"interpretation_fiveSliders",5,"Eric","attractive","neg_antonym","not unattractive","person","male","level of attractiveness",0.76,5,"unattractive"
3,"interpretation_fiveSliders",6,"Gabriel","forgiving","positive","forgiving","person","male","level of forgivingness",1,1,"unforgiving"
3,"interpretation_fiveSliders",6,"Veronica","forgiving","antonym","unforgiving","person","female","level of forgivingness",0.04,2,"unforgiving"
3,"interpretation_fiveSliders",6,"Monica","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","female","level of forgivingness",0.49,3,"unforgiving"
3,"interpretation_fiveSliders",6,"Daniel","forgiving","neg_positive","not forgiving","person","male","level of forgivingness",0.06,4,"unforgiving"
3,"interpretation_fiveSliders",6,"Michael","forgiving","neg_antonym","not unforgiving","person","male","level of forgivingness",0.65,5,"unforgiving"
4,"interpretation_fiveSliders",1,"Eric","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.5,1,"uninteresting"
4,"interpretation_fiveSliders",1,"Gabriel","interesting","positive","interesting","person","male","level of interestingness",0.99,2,"uninteresting"
4,"interpretation_fiveSliders",1,"Greg","interesting","neg_positive","not interesting","person","male","level of interestingness",0.23,3,"uninteresting"
4,"interpretation_fiveSliders",1,"Sophia","interesting","antonym","uninteresting","person","female","level of interestingness",0,4,"uninteresting"
4,"interpretation_fiveSliders",1,"Tom","interesting","neg_antonym","not uninteresting","person","male","level of interestingness",0.51,5,"uninteresting"
4,"interpretation_fiveSliders",2,"Stephanie","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.48,1,"unintelligent"
4,"interpretation_fiveSliders",2,"Claire","intelligent","positive","intelligent","person","female","level of intelligence",1,2,"unintelligent"
4,"interpretation_fiveSliders",2,"Kathleen","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.48,3,"unintelligent"
4,"interpretation_fiveSliders",2,"Alicia","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0,4,"unintelligent"
4,"interpretation_fiveSliders",2,"Stephen","intelligent","antonym","unintelligent","person","male","level of intelligence",0,5,"unintelligent"
4,"interpretation_fiveSliders",3,"Julia","happy","positive","happy","person","female","level of happiness",1,1,"unhappy"
4,"interpretation_fiveSliders",3,"Alexander","happy","neither_pos_nor_ant","neither happy nor unhappy","person","male","level of happiness",0.5,2,"unhappy"
4,"interpretation_fiveSliders",3,"Michael","happy","neg_antonym","not unhappy","person","male","level of happiness",0.49,3,"unhappy"
4,"interpretation_fiveSliders",3,"Jennifer","happy","neg_positive","not happy","person","female","level of happiness",0,4,"unhappy"
4,"interpretation_fiveSliders",3,"Laura","happy","antonym","unhappy","person","female","level of happiness",0,5,"unhappy"
4,"interpretation_fiveSliders",4,"Angela","forgiving","antonym","unforgiving","person","female","level of forgivingness",0.01,1,"unforgiving"
4,"interpretation_fiveSliders",4,"Michelle","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.01,2,"unforgiving"
4,"interpretation_fiveSliders",4,"Daniel","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.48,3,"unforgiving"
4,"interpretation_fiveSliders",4,"Kim","forgiving","positive","forgiving","person","female","level of forgivingness",0.99,4,"unforgiving"
4,"interpretation_fiveSliders",4,"Melinda","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.48,5,"unforgiving"
4,"interpretation_fiveSliders",5,"Anthony","polite","neg_positive","not polite","person","male","level of politeness",0.01,1,"impolite"
4,"interpretation_fiveSliders",5,"Lucas","polite","antonym","impolite","person","male","level of politeness",0,2,"impolite"
4,"interpretation_fiveSliders",5,"Veronica","polite","positive","polite","person","female","level of politeness",0.98,3,"impolite"
4,"interpretation_fiveSliders",5,"Lee","polite","neither_pos_nor_ant","neither polite nor impolite","person","male","level of politeness",0.49,4,"impolite"
4,"interpretation_fiveSliders",5,"Maya","polite","neg_antonym","not impolite","person","female","level of politeness",0.48,5,"impolite"
4,"interpretation_fiveSliders",6,"Monica","attractive","antonym","unattractive","person","female","level of attractiveness",0.01,1,"unattractive"
4,"interpretation_fiveSliders",6,"John","attractive","positive","attractive","person","male","level of attractiveness",0.99,2,"unattractive"
4,"interpretation_fiveSliders",6,"David","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.01,3,"unattractive"
4,"interpretation_fiveSliders",6,"William","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","male","level of attractiveness",0.49,4,"unattractive"
4,"interpretation_fiveSliders",6,"Cameron","attractive","neg_antonym","not unattractive","person","male","level of attractiveness",0.49,5,"unattractive"
5,"interpretation_fiveSliders",1,"Sophia","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.76,1,"unforgiving"
5,"interpretation_fiveSliders",1,"Cameron","forgiving","antonym","unforgiving","person","male","level of forgivingness",0.15,2,"unforgiving"
5,"interpretation_fiveSliders",1,"Greg","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.53,3,"unforgiving"
5,"interpretation_fiveSliders",1,"Jennifer","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.14,4,"unforgiving"
5,"interpretation_fiveSliders",1,"Alicia","forgiving","positive","forgiving","person","female","level of forgivingness",0.69,5,"unforgiving"
5,"interpretation_fiveSliders",2,"Lucas","attractive","antonym","unattractive","person","male","level of attractiveness",0.12,1,"unattractive"
5,"interpretation_fiveSliders",2,"Michelle","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.88,2,"unattractive"
5,"interpretation_fiveSliders",2,"Laura","attractive","neg_positive","not attractive","person","female","level of attractiveness",0.41,3,"unattractive"
5,"interpretation_fiveSliders",2,"Lee","attractive","positive","attractive","person","male","level of attractiveness",0.94,4,"unattractive"
5,"interpretation_fiveSliders",2,"Kim","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","female","level of attractiveness",0.5,5,"unattractive"
5,"interpretation_fiveSliders",3,"Melinda","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.49,1,"impolite"
5,"interpretation_fiveSliders",3,"Alexander","polite","positive","polite","person","male","level of politeness",0.74,2,"impolite"
5,"interpretation_fiveSliders",3,"Anthony","polite","neg_antonym","not impolite","person","male","level of politeness",0.74,3,"impolite"
5,"interpretation_fiveSliders",3,"Eric","polite","antonym","impolite","person","male","level of politeness",0.73,4,"impolite"
5,"interpretation_fiveSliders",3,"Julia","polite","neg_positive","not polite","person","female","level of politeness",0.21,5,"impolite"
5,"interpretation_fiveSliders",4,"Claire","happy","neg_antonym","not unhappy","person","female","level of happiness",0.21,1,"unhappy"
5,"interpretation_fiveSliders",4,"Michael","happy","antonym","unhappy","person","male","level of happiness",0.21,2,"unhappy"
5,"interpretation_fiveSliders",4,"John","happy","positive","happy","person","male","level of happiness",0.7,3,"unhappy"
5,"interpretation_fiveSliders",4,"David","happy","neg_positive","not happy","person","male","level of happiness",0.24,4,"unhappy"
5,"interpretation_fiveSliders",4,"Angela","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.46,5,"unhappy"
5,"interpretation_fiveSliders",5,"Daniel","interesting","neg_positive","not interesting","person","male","level of interestingness",0.14,1,"uninteresting"
5,"interpretation_fiveSliders",5,"Veronica","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.62,2,"uninteresting"
5,"interpretation_fiveSliders",5,"Stephen","interesting","antonym","uninteresting","person","male","level of interestingness",0.19,3,"uninteresting"
5,"interpretation_fiveSliders",5,"Monica","interesting","positive","interesting","person","female","level of interestingness",0.64,4,"uninteresting"
5,"interpretation_fiveSliders",5,"William","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.47,5,"uninteresting"
5,"interpretation_fiveSliders",6,"Tom","intelligent","antonym","unintelligent","person","male","level of intelligence",0.2,1,"unintelligent"
5,"interpretation_fiveSliders",6,"Stephanie","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.18,2,"unintelligent"
5,"interpretation_fiveSliders",6,"Kathleen","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.73,3,"unintelligent"
5,"interpretation_fiveSliders",6,"Maya","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.44,4,"unintelligent"
5,"interpretation_fiveSliders",6,"Gabriel","intelligent","positive","intelligent","person","male","level of intelligence",0.59,5,"unintelligent"
