"workerid","rt","trial_type","trial_num","name","positive","sentence_type","adjective","referent","gender","noun","response","antonym"
0,9718,"one_slider",1,"Angela","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.28,"unintelligent"
0,5593,"one_slider",2,"Gabriel","happy","neg_positive","not happy","person","male","level of happiness",0.25,"unhappy"
0,3275,"one_slider",3,"Daniel","attractive","positive","attractive","person","male","level of attractiveness",0.67,"unattractive"
0,2734,"one_slider",4,"Sophia","happy","antonym","unhappy","person","female","level of happiness",0.27,"unhappy"
0,6064,"one_slider",5,"Jennifer","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.21,"unforgiving"
0,2907,"one_slider",6,"Stephen","attractive","antonym","unattractive","person","male","level of attractiveness",0.24,"unattractive"
0,2351,"one_slider",7,"Monica","happy","neg_antonym","not unhappy","person","female","level of happiness",0.22,"unhappy"
0,3645,"one_slider",8,"Michael","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.17,"unattractive"
0,3496,"one_slider",9,"Kim","polite","neg_antonym","not impolite","person","female","level of politeness",0.17,"impolite"
0,3546,"one_slider",10,"John","forgiving","positive","forgiving","person","male","level of forgivingness",0.77,"unforgiving"
0,6328,"one_slider",11,"Lucas","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.48,"uninteresting"
0,3226,"one_slider",12,"Veronica","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.49,"impolite"
0,2781,"one_slider",13,"Greg","interesting","positive","interesting","person","male","level of interestingness",0.76,"uninteresting"
0,2838,"one_slider",14,"Melinda","polite","antonym","impolite","person","female","level of politeness",0.16,"impolite"
0,4888,"one_slider",15,"Anthony","forgiving","antonym","unforgiving","person","male","level of forgivingness",0.17,"unforgiving"
0,4642,"one_slider",16,"Eric","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.5,"unforgiving"
0,13514,"one_slider",17,"Lee","intelligent","positive","intelligent","person","male","level of intelligence",0.8,"unintelligent"
0,4694,"one_slider",18,"Alexander","attractive","neg_antonym","not unattractive","person","male","level of attractiveness",0.23,"unattractive"
0,4677,"one_slider",19,"Claire","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.79,"unintelligent"
0,5361,"one_slider",20,"Alicia","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.15,"unforgiving"
0,3708,"one_slider",21,"Julia","happy","positive","happy","person","female","level of happiness",0.83,"unhappy"
0,3006,"one_slider",22,"Kathleen","intelligent","antonym","unintelligent","person","female","level of intelligence",0.24,"unintelligent"
0,19362,"one_slider",23,"Tom","interesting","neg_antonym","not uninteresting","person","male","level of interestingness",0.78,"uninteresting"
0,2929,"one_slider",24,"William","interesting","antonym","uninteresting","person","male","level of interestingness",0.16,"uninteresting"
0,2738,"one_slider",25,"Maya","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.51,"unintelligent"
0,2461,"one_slider",26,"Laura","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.52,"unhappy"
0,3160,"one_slider",27,"David","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","male","level of attractiveness",0.53,"unattractive"
0,3788,"one_slider",28,"Cameron","polite","neg_positive","not polite","person","male","level of politeness",0.2,"impolite"
0,2897,"one_slider",29,"Stephanie","polite","positive","polite","person","female","level of politeness",0.82,"impolite"
0,3587,"one_slider",30,"Michelle","interesting","neg_positive","not interesting","person","female","level of interestingness",0.17,"uninteresting"
1,7718,"one_slider",1,"Angela","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","female","level of attractiveness",0.43,"unattractive"
1,1968,"one_slider",2,"Monica","forgiving","antonym","unforgiving","person","female","level of forgivingness",0.52,"unforgiving"
1,3510,"one_slider",3,"Cameron","attractive","neg_antonym","not unattractive","person","male","level of attractiveness",0.59,"unattractive"
1,1168,"one_slider",4,"Alicia","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.45,"unintelligent"
1,934,"one_slider",5,"Michelle","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.6,"unforgiving"
1,2011,"one_slider",6,"Claire","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.46,"unintelligent"
1,1099,"one_slider",7,"Stephen","polite","positive","polite","person","male","level of politeness",0.54,"impolite"
1,1764,"one_slider",8,"Kim","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.43,"unforgiving"
1,721,"one_slider",9,"Melinda","attractive","antonym","unattractive","person","female","level of attractiveness",0.53,"unattractive"
1,944,"one_slider",10,"William","interesting","neg_antonym","not uninteresting","person","male","level of interestingness",0.43,"uninteresting"
1,1413,"one_slider",11,"Tom","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.5,"uninteresting"
1,1108,"one_slider",12,"John","intelligent","positive","intelligent","person","male","level of intelligence",0.61,"unintelligent"
1,1678,"one_slider",13,"Michael","intelligent","neg_positive","not intelligent","person","male","level of intelligence",0.45,"unintelligent"
1,1699,"one_slider",14,"Lucas","attractive","positive","attractive","person","male","level of attractiveness",0.6,"unattractive"
1,2173,"one_slider",15,"Eric","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.48,"unattractive"
1,805,"one_slider",16,"David","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.56,"unforgiving"
1,1300,"one_slider",17,"Julia","interesting","antonym","uninteresting","person","female","level of interestingness",0.45,"uninteresting"
1,766,"one_slider",18,"Alexander","polite","neg_antonym","not impolite","person","male","level of politeness",0.6,"impolite"
1,1490,"one_slider",19,"Anthony","forgiving","positive","forgiving","person","male","level of forgivingness",0.44,"unforgiving"
1,1096,"one_slider",20,"Veronica","happy","antonym","unhappy","person","female","level of happiness",0.49,"unhappy"
1,1826,"one_slider",21,"Laura","polite","neg_positive","not polite","person","female","level of politeness",0.65,"impolite"
1,2791,"one_slider",22,"Daniel","happy","neg_positive","not happy","person","male","level of happiness",0.51,"unhappy"
1,885,"one_slider",23,"Greg","happy","positive","happy","person","male","level of happiness",0.51,"unhappy"
1,1958,"one_slider",24,"Sophia","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.45,"unhappy"
1,1041,"one_slider",25,"Kathleen","polite","antonym","impolite","person","female","level of politeness",0.61,"impolite"
1,1979,"one_slider",26,"Stephanie","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.5,"impolite"
1,1127,"one_slider",27,"Maya","interesting","positive","interesting","person","female","level of interestingness",0.39,"uninteresting"
1,1309,"one_slider",28,"Gabriel","interesting","neg_positive","not interesting","person","male","level of interestingness",0.56,"uninteresting"
1,1171,"one_slider",29,"Jennifer","happy","neg_antonym","not unhappy","person","female","level of happiness",0.49,"unhappy"
1,946,"one_slider",30,"Lee","intelligent","antonym","unintelligent","person","male","level of intelligence",0.57,"unintelligent"
2,14475,"one_slider",1,"Greg","intelligent","antonym","unintelligent","person","male","level of intelligence",0.26,"unintelligent"
2,21201,"one_slider",2,"Julia","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.68,"unattractive"
2,4747,"one_slider",3,"Michelle","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.74,"unintelligent"
2,4490,"one_slider",4,"Anthony","happy","positive","happy","person","male","level of happiness",0.75,"unhappy"
2,4707,"one_slider",5,"Melinda","happy","antonym","unhappy","person","female","level of happiness",0.2,"unhappy"
2,4301,"one_slider",6,"Monica","intelligent","positive","intelligent","person","female","level of intelligence",0.81,"unintelligent"
2,4288,"one_slider",7,"Claire","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","female","level of attractiveness",0.47,"unattractive"
2,2646,"one_slider",8,"Gabriel","happy","neither_pos_nor_ant","neither happy nor unhappy","person","male","level of happiness",0.49,"unhappy"
2,5201,"one_slider",9,"Stephen","polite","neg_antonym","not impolite","person","male","level of politeness",0.82,"impolite"
2,21403,"one_slider",10,"Veronica","interesting","antonym","uninteresting","person","female","level of interestingness",0.18,"uninteresting"
2,3032,"one_slider",11,"Jennifer","attractive","antonym","unattractive","person","female","level of attractiveness",0.14,"unattractive"
2,5733,"one_slider",12,"Alexander","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.21,"unattractive"
2,3967,"one_slider",13,"Sophia","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.79,"uninteresting"
2,3842,"one_slider",14,"Lucas","interesting","positive","interesting","person","male","level of interestingness",0.84,"uninteresting"
2,2955,"one_slider",15,"Kim","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.48,"impolite"
2,4582,"one_slider",16,"David","forgiving","neg_antonym","not unforgiving","person","male","level of forgivingness",0.79,"unforgiving"
2,4005,"one_slider",17,"Maya","happy","neg_positive","not happy","person","female","level of happiness",0.12,"unhappy"
2,2891,"one_slider",18,"Eric","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.5,"uninteresting"
2,3743,"one_slider",19,"William","intelligent","neg_positive","not intelligent","person","male","level of intelligence",0.76,"unintelligent"
2,4677,"one_slider",20,"Tom","polite","neg_positive","not polite","person","male","level of politeness",0.1,"impolite"
2,5153,"one_slider",21,"Stephanie","polite","antonym","impolite","person","female","level of politeness",0.04,"impolite"
2,3732,"one_slider",22,"John","interesting","neg_positive","not interesting","person","male","level of interestingness",0.12,"uninteresting"
2,3472,"one_slider",23,"Cameron","happy","neg_antonym","not unhappy","person","male","level of happiness",0.82,"unhappy"
2,4337,"one_slider",24,"Kathleen","forgiving","antonym","unforgiving","person","female","level of forgivingness",0.03,"unforgiving"
2,2445,"one_slider",25,"Michael","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.49,"unforgiving"
2,2855,"one_slider",26,"Alicia","attractive","positive","attractive","person","female","level of attractiveness",0.87,"unattractive"
2,2826,"one_slider",27,"Angela","forgiving","positive","forgiving","person","female","level of forgivingness",0.87,"unforgiving"
2,2723,"one_slider",28,"Lee","polite","positive","polite","person","male","level of politeness",0.87,"impolite"
2,2568,"one_slider",29,"Daniel","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","male","level of intelligence",0.48,"unintelligent"
2,3988,"one_slider",30,"Laura","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.11,"unforgiving"
3,6061,"one_slider",1,"Stephanie","interesting","neg_antonym","not uninteresting","person","female","level of interestingness",0.72,"uninteresting"
3,1568,"one_slider",2,"Lucas","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.52,"unforgiving"
3,3788,"one_slider",3,"Lee","polite","neg_positive","not polite","person","male","level of politeness",0.2,"impolite"
3,2094,"one_slider",4,"Sophia","forgiving","antonym","unforgiving","person","female","level of forgivingness",0.24,"unforgiving"
3,4024,"one_slider",5,"Michael","polite","neg_antonym","not impolite","person","male","level of politeness",0.66,"impolite"
3,2851,"one_slider",6,"Alicia","happy","positive","happy","person","female","level of happiness",0.83,"unhappy"
3,2335,"one_slider",7,"Anthony","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","male","level of intelligence",0.51,"unintelligent"
3,2009,"one_slider",8,"Maya","interesting","antonym","uninteresting","person","female","level of interestingness",0.19,"uninteresting"
3,1850,"one_slider",9,"Michelle","intelligent","positive","intelligent","person","female","level of intelligence",0.8,"unintelligent"
3,2413,"one_slider",10,"Greg","interesting","neg_positive","not interesting","person","male","level of interestingness",0.76,"uninteresting"
3,2072,"one_slider",11,"David","polite","neither_pos_nor_ant","neither polite nor impolite","person","male","level of politeness",0.52,"impolite"
3,3947,"one_slider",12,"Kim","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.21,"unintelligent"
3,2267,"one_slider",13,"Angela","happy","neg_antonym","not unhappy","person","female","level of happiness",0.81,"unhappy"
3,1843,"one_slider",14,"Cameron","polite","positive","polite","person","male","level of politeness",0.73,"impolite"
3,1954,"one_slider",15,"Daniel","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.5,"uninteresting"
3,2693,"one_slider",16,"Monica","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.2,"unforgiving"
3,2469,"one_slider",17,"John","attractive","antonym","unattractive","person","male","level of attractiveness",0.2,"unattractive"
3,1873,"one_slider",18,"Eric","forgiving","positive","forgiving","person","male","level of forgivingness",0.76,"unforgiving"
3,2616,"one_slider",19,"Gabriel","happy","neg_positive","not happy","person","male","level of happiness",0.22,"unhappy"
3,1747,"one_slider",20,"William","happy","neither_pos_nor_ant","neither happy nor unhappy","person","male","level of happiness",0.51,"unhappy"
3,2452,"one_slider",21,"Julia","attractive","positive","attractive","person","female","level of attractiveness",0.74,"unattractive"
3,2016,"one_slider",22,"Laura","attractive","neg_positive","not attractive","person","female","level of attractiveness",0.18,"unattractive"
3,1962,"one_slider",23,"Kathleen","interesting","positive","interesting","person","female","level of interestingness",0.79,"uninteresting"
3,3594,"one_slider",24,"Veronica","polite","antonym","impolite","person","female","level of politeness",0.17,"impolite"
3,3109,"one_slider",25,"Melinda","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.68,"unintelligent"
3,2810,"one_slider",26,"Jennifer","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.71,"unattractive"
3,1830,"one_slider",27,"Claire","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","female","level of attractiveness",0.48,"unattractive"
3,4757,"one_slider",28,"Stephen","forgiving","neg_antonym","not unforgiving","person","male","level of forgivingness",0.73,"unforgiving"
3,2939,"one_slider",29,"Alexander","happy","antonym","unhappy","person","male","level of happiness",0.21,"unhappy"
3,2477,"one_slider",30,"Tom","intelligent","antonym","unintelligent","person","male","level of intelligence",0.2,"unintelligent"
4,9144,"one_slider",1,"Maya","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.51,"unattractive"
4,14542,"one_slider",2,"Alexander","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.11,"unattractive"
4,4951,"one_slider",3,"Monica","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.51,"unhappy"
4,4848,"one_slider",4,"William","intelligent","neg_antonym","not unintelligent","person","male","level of intelligence",0.53,"unintelligent"
4,4188,"one_slider",5,"Greg","interesting","positive","interesting","person","male","level of interestingness",0.76,"uninteresting"
4,7284,"one_slider",6,"Sophia","interesting","neg_positive","not interesting","person","female","level of interestingness",0.1,"uninteresting"
4,4942,"one_slider",7,"Stephen","polite","antonym","impolite","person","male","level of politeness",0.1,"impolite"
4,4500,"one_slider",8,"Eric","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.51,"unforgiving"
4,4849,"one_slider",9,"Melinda","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.23,"unintelligent"
4,23972,"one_slider",10,"Julia","happy","neg_antonym","not unhappy","person","female","level of happiness",0.51,"unhappy"
4,5582,"one_slider",11,"Gabriel","polite","neg_positive","not polite","person","male","level of politeness",0.12,"impolite"
4,4231,"one_slider",12,"Angela","interesting","antonym","uninteresting","person","female","level of interestingness",0.07,"uninteresting"
4,6803,"one_slider",13,"Tom","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","male","level of intelligence",0.5,"unintelligent"
4,4749,"one_slider",14,"Veronica","intelligent","positive","intelligent","person","female","level of intelligence",0.9,"unintelligent"
4,4829,"one_slider",15,"Cameron","forgiving","antonym","unforgiving","person","male","level of forgivingness",0,"unforgiving"
4,6319,"one_slider",16,"Claire","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.04,"unforgiving"
4,4303,"one_slider",17,"Kim","attractive","antonym","unattractive","person","female","level of attractiveness",0.11,"unattractive"
4,3818,"one_slider",18,"Lucas","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.53,"uninteresting"
4,8225,"one_slider",19,"Laura","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.84,"unforgiving"
4,4225,"one_slider",20,"Lee","happy","neg_positive","not happy","person","male","level of happiness",0.11,"unhappy"
4,4060,"one_slider",21,"David","happy","positive","happy","person","male","level of happiness",0.87,"unhappy"
4,5417,"one_slider",22,"Stephanie","polite","neg_antonym","not impolite","person","female","level of politeness",0.75,"impolite"
4,5774,"one_slider",23,"Michael","interesting","neg_antonym","not uninteresting","person","male","level of interestingness",0.73,"uninteresting"
4,38106,"one_slider",24,"Jennifer","forgiving","positive","forgiving","person","female","level of forgivingness",0.85,"unforgiving"
4,3874,"one_slider",25,"Michelle","happy","antonym","unhappy","person","female","level of happiness",0.02,"unhappy"
4,3352,"one_slider",26,"Kathleen","intelligent","antonym","unintelligent","person","female","level of intelligence",0.13,"unintelligent"
4,3451,"one_slider",27,"John","polite","positive","polite","person","male","level of politeness",0.96,"impolite"
4,2781,"one_slider",28,"Daniel","attractive","positive","attractive","person","male","level of attractiveness",0.84,"unattractive"
4,3683,"one_slider",29,"Anthony","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","male","level of attractiveness",0.5,"unattractive"
4,3465,"one_slider",30,"Alicia","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.49,"impolite"
5,13625,"one_slider",1,"Angela","intelligent","antonym","unintelligent","person","female","level of intelligence",0.47,"unintelligent"
5,4781,"one_slider",2,"Maya","forgiving","antonym","unforgiving","person","female","level of forgivingness",0.39,"unforgiving"
5,6183,"one_slider",3,"Daniel","intelligent","neg_positive","not intelligent","person","male","level of intelligence",0.47,"unintelligent"
5,4840,"one_slider",4,"Cameron","polite","neither_pos_nor_ant","neither polite nor impolite","person","male","level of politeness",0.52,"impolite"
5,4483,"one_slider",5,"Jennifer","polite","neg_antonym","not impolite","person","female","level of politeness",0.57,"impolite"
5,3230,"one_slider",6,"Greg","happy","neither_pos_nor_ant","neither happy nor unhappy","person","male","level of happiness",0.48,"unhappy"
5,4723,"one_slider",7,"Stephanie","interesting","neg_positive","not interesting","person","female","level of interestingness",0.38,"uninteresting"
5,2511,"one_slider",8,"Michelle","intelligent","positive","intelligent","person","female","level of intelligence",0.68,"unintelligent"
5,4875,"one_slider",9,"Alexander","forgiving","neg_positive","not forgiving","person","male","level of forgivingness",0.31,"unforgiving"
5,3033,"one_slider",10,"Julia","happy","neg_positive","not happy","person","female","level of happiness",0.32,"unhappy"
5,2744,"one_slider",11,"Laura","polite","neg_positive","not polite","person","female","level of politeness",0.36,"impolite"
5,2810,"one_slider",12,"Lucas","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","male","level of intelligence",0.49,"unintelligent"
5,4755,"one_slider",13,"Kim","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.74,"unforgiving"
5,4144,"one_slider",14,"Kathleen","happy","neg_antonym","not unhappy","person","female","level of happiness",0.57,"unhappy"
5,3382,"one_slider",15,"Lee","attractive","antonym","unattractive","person","male","level of attractiveness",0.48,"unattractive"
5,3359,"one_slider",16,"John","interesting","neg_antonym","not uninteresting","person","male","level of interestingness",0.6,"uninteresting"
5,3752,"one_slider",17,"Sophia","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.59,"unintelligent"
5,2847,"one_slider",18,"Tom","interesting","positive","interesting","person","male","level of interestingness",0.61,"uninteresting"
5,3609,"one_slider",19,"Anthony","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","male","level of attractiveness",0.49,"unattractive"
5,3333,"one_slider",20,"Stephen","interesting","antonym","uninteresting","person","male","level of interestingness",0.49,"uninteresting"
5,2760,"one_slider",21,"Gabriel","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.49,"uninteresting"
5,3613,"one_slider",22,"Claire","happy","positive","happy","person","female","level of happiness",0.66,"unhappy"
5,3252,"one_slider",23,"Monica","attractive","neg_positive","not attractive","person","female","level of attractiveness",0.44,"unattractive"
5,4415,"one_slider",24,"Michael","attractive","positive","attractive","person","male","level of attractiveness",0.67,"unattractive"
5,5243,"one_slider",25,"David","polite","antonym","impolite","person","male","level of politeness",0.37,"impolite"
5,3868,"one_slider",26,"Melinda","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","female","level of forgivingness",0.5,"unforgiving"
5,5265,"one_slider",27,"William","happy","antonym","unhappy","person","male","level of happiness",0.39,"unhappy"
5,3517,"one_slider",28,"Alicia","attractive","neg_antonym","not unattractive","person","female","level of attractiveness",0.58,"unattractive"
5,3077,"one_slider",29,"Eric","polite","positive","polite","person","male","level of politeness",0.8,"impolite"
